parámetros del reclutamiento
bit,NSIM
3470791265.70436,7478278.3738878
3470791266.31053,7478278.44457548
3470791266.10881,7478278.51095837
3470791266.29756,7478278.54770163
3470791266.18239,7478277.94272244
3470791266.1407,7478278.15499868
3470791265.95633,7478278.19824732
3470791265.86646,7478278.4001515
3470791265.94629,7478278.21240463
3470791266.04231,7478278.00971458
3470791265.96297,7478278.25828834
3470791266.14184,7478278.27057666
3470791266.29794,7478277.52620225
3470791266.01634,7478278.27607401
3470791266.0136,7478278.03470917
3470791266.04939,7478278.447473
3470791265.79127,7478278.22804814
3470791266.16605,7478278.15809729
3470791266.24362,7478278.2107953
3470791266.31948,7478278.11445665
3470791265.93059,7478278.28159373
3470791266.12014,7478278.01239043
3470791266.16676,7478278.15266347
3470791265.99136,7478278.29929594
3470791266.14,7478278.29834076
3470791266.03663,7478278.33734212
3470791265.96188,7478278.2091421
3470791265.57985,7478277.87852791
3470791266.10729,7478278.25346107
3470791266.09903,7478278.0937516
3470791265.80878,7478278.06260917
3470791265.84021,7478277.97619552
3470791266.02507,7478278.37315626
3470791265.86886,7478278.00318752
3470791265.94451,7478278.05796138
3470791265.77937,7478278.69936861
3470791265.62258,7478278.38878961
3470791265.83363,7478278.05525892
3470791265.91636,7478278.19312835
3470791265.99163,7478278.50400769
3470791265.98639,7478278.15932611
3470791265.94735,7478278.06629615
3470791266.0575,7478278.57586696
3470791266.04245,7478278.05144722
3470791266.25397,7478278.4548058
3470791265.98608,7478277.99717952
3470791265.89611,7478278.42836841
3470791265.91686,7478278.22820754
3470791266.02475,7478278.15242895
3470791265.96909,7478278.20928668
3470791265.94999,7478278.02782269
3470791265.86276,7478278.47115035
3470791265.89743,7478278.14956401
3470791265.78697,7478278.63111079
3470791265.98416,7478278.26636838
3470791265.92495,7478278.33360934
3470791266.44195,7478278.40561296
3470791265.95021,7478278.00271988
3470791266.12443,7478278.43328437
3470791265.89147,7478278.26584907
3470791265.81357,7478278.28388359
3470791266.05003,7478278.24503558
3470791266.12649,7478278.1478451
3470791266.30248,7478277.87453103
3470791266.16948,7478278.36641834
3470791265.89537,7478278.3785279
3470791265.90707,7478277.9199198
3470791265.89144,7478278.59684774
3470791266.15235,7478278.07609493
3470791266.14606,7478278.09529712
3470791266.13775,7478278.17500333
3470791265.92406,7478278.3203348
3470791265.97784,7478278.26355265
3470791265.8586,7478278.15631756
3470791266.23004,7478278.20814303
3470791265.79939,7478278.56489668
3470791265.69219,7478278.17588256
3470791266.15986,7478278.0407273
3470791265.93977,7478278.13963867
3470791265.92697,7478278.10199792
3470791265.91621,7478277.86236731
3470791265.82982,7478278.18874019
3470791266.26038,7478278.26722754
3470791266.11883,7478278.56206232
3470791266.15354,7478278.23877998
3470791265.76879,7478278.14242396
3470791265.80987,7478278.48011106
3470791266.12796,7478278.36474653
3470791265.79481,7478277.89493973
3470791265.90745,7478278.26876429
3470791265.9336,7478278.19491986
3470791266.03822,7478278.176745
3470791266.16514,7478278.51885075
3470791266.28644,7478277.80520465
3470791265.91783,7478278.13924013
3470791265.9346,7478278.11377955
3470791266.0867,7478278.73712725
3470791265.80104,7478277.84791612
3470791265.85061,7478278.1713312
3470791266.46971,7478278.61966153
3470791265.75316,7478278.71427086
3470791265.67751,7478278.08962745
3470791266.06323,7478278.36921484
3470791265.95765,7478278.06278249
3470791265.93105,7478278.33333131
3470791265.87993,7478278.28844299
3470791266.10678,7478278.11091672
3470791266.00125,7478278.55092199
3470791266.00761,7478278.12424922
3470791266.26965,7478278.12213214
3470791266.09987,7478278.0688006
3470791265.77478,7478278.36408775
3470791265.87262,7478278.7409031
3470791266.07775,7478278.09929779
3470791265.98414,7478278.33552472
3470791266.0886,7478278.21960996
3470791265.90103,7478278.08621297
3470791265.96812,7478278.26278386
3470791265.85641,7478278.47112086
3470791266.09608,7478277.92590779
3470791265.82996,7478278.02840147
3470791265.96473,7478278.17446396
3470791265.8282,7478278.57953152
3470791265.87241,7478278.57852078
3470791266.11685,7478278.24383906
3470791266.11028,7478278.22349773
3470791266.30914,7478277.74221843
3470791265.89561,7478278.22854555
3470791265.9774,7478278.40518968
3470791266.04369,7478277.80653533
3470791266.00385,7478278.49643328
3470791266.09893,7478278.12725358
3470791265.82215,7478278.34632027
3470791266.1061,7478278.30713999
3470791266.04575,7478278.22576467
3470791266.07307,7478278.35064935
3470791265.94164,7478278.36731236
3470791265.94099,7478278.07207044
3470791265.97116,7478278.04943201
3470791266.03423,7478278.24254019
3470791265.59081,7478278.09258884
3470791265.98307,7478278.20592562
3470791266.04362,7478278.25218706
3470791266.17572,7478278.30977895
3470791265.95486,7478278.29012219
3470791265.87992,7478278.70557818
3470791266.00764,7478277.92389394
3470791265.9963,7478278.25698734
3470791266.21607,7478278.22558715
3470791265.89498,7478278.08323471
3470791266.16699,7478278.41687307
3470791266.20719,7478278.45042078
3470791265.84166,7478278.19736915
3470791265.73936,7478278.04857918
3470791265.81103,7478277.6824961
3470791266.01584,7478278.30531512
3470791266.27401,7478278.37007495
3470791265.9646,7478278.29962851
3470791265.809,7478277.96869872
3470791266.14706,7478278.29379684
3470791266.27769,7478278.26814536
3470791265.84569,7478278.08894124
3470791265.87939,7478278.68253974
3470791265.76954,7478277.83888611
3470791266.00648,7478278.02899291
3470791265.80544,7478278.22968699
3470791265.96718,7478278.3298455
3470791265.90883,7478278.93244458
3470791266.0868,7478278.14107982
3470791265.99104,7478278.38386392
3470791265.84063,7478278.21204532
3470791265.94164,7478278.41793289
3470791266.22106,7478278.1336731
3470791266.13803,7478278.18222365
3470791266.25919,7478278.27217982
3470791265.88992,7478278.79521407
3470791265.97178,7478278.28887127
3470791265.8854,7478277.99293736
3470791266.06937,7478278.24529931
3470791265.83192,7478278.2881296
3470791265.9458,7478278.1577696
3470791266.37297,7478278.27202382
3470791266.13204,7478277.8701636
3470791266.21403,7478278.21941441
3470791265.87621,7478277.85092795
3470791266.01346,7478278.1879163
3470791265.8306,7478278.68046115
3470791265.9779,7478277.86654232
3470791266.05875,7478278.62192236
3470791265.77796,7478278.06007072
3470791266.29897,7478278.29560995
3470791266.26387,7478278.50151807
3470791266.0246,7478278.22157373
3470791266.0632,7478278.17304081
3470791266.01578,7478278.40899972
3470791266.03311,7478278.33116286
3470791266.09971,7478277.90798398
3470791266.17752,7478278.25095185
3470791265.91114,7478278.10919101
3470791265.99167,7478278.48296852
3470791266.14206,7478278.14178872
3470791265.56761,7478278.15667216
3470791265.95579,7478277.73961415
3470791266.11291,7478278.19998464
3470791266.12491,7478278.00331639
3470791266.25266,7478278.49800985
3470791266.10994,7478278.52677932
3470791266.00131,7478278.31558239
3470791265.97784,7478277.83717315
3470791266.12647,7478278.34510237
3470791265.98836,7478278.17119836
3470791265.86916,7478278.13795795
3470791266.11437,7478278.24373692
3470791266.09531,7478278.23343816
3470791266.12597,7478278.69302914
3470791265.9545,7478278.07209159
3470791266.01112,7478277.73121034
3470791266.16191,7478278.25610485
3470791265.88755,7478278.45325933
3470791265.69818,7478278.24233314
3470791265.98316,7478277.66284066
3470791265.81389,7478277.99504917
3470791265.86545,7478278.0265893
3470791266.36009,7478278.31000363
3470791266.08676,7478278.26228786
3470791266.03118,7478278.29264204
3470791266.04318,7478277.84579018
3470791266.14632,7478278.48601935
3470791266.0761,7478278.46667894
3470791266.35812,7478278.30192062
3470791266.12307,7478278.36974144
3470791266.27871,7478278.07771665
3470791265.93889,7478278.0493667
3470791265.72214,7478278.15045024
3470791266.03922,7478278.42723088
3470791265.94379,7478278.1841218
3470791266.05524,7478278.13414935
3470791266.10672,7478278.02213834
3470791265.7778,7478278.43581048
3470791265.76061,7478278.19514396
3470791265.83277,7478277.96327875
3470791265.98864,7478277.93699765
3470791266.01264,7478278.61397544
3470791266.07071,7478278.07294297
3470791265.84966,7478278.09971908
3470791266.073,7478278.2363941
3470791265.8416,7478277.7169391
3470791266.30929,7478277.66841175
3470791266.09562,7478277.96457778
3470791266.00567,7478278.4694368
3470791265.69849,7478278.06723652
3470791266.04679,7478278.5765407
3470791265.82991,7478278.33328061
3470791266.24394,7478278.49420334
3470791265.96705,7478278.55761942
3470791266.10594,7478278.06187044
3470791266.20912,7478278.41457588
3470791265.61803,7478278.05714351
3470791265.90101,7478278.0592826
3470791265.95368,7478278.00429496
3470791266.0109,7478278.51228906
3470791265.73903,7478278.38448896
3470791266.30707,7478278.54595195
3470791266.07986,7478278.01886289
3470791266.11311,7478278.53021401
3470791265.97357,7478278.46759194
3470791265.76378,7478278.07087553
3470791265.97726,7478278.58706289
3470791266.16911,7478278.24715023
3470791265.92211,7478278.23350493
3470791266.25192,7478278.10744344
3470791266.04188,7478278.31019651
3470791266.10494,7478278.46803947
